ds,y
2017-06-15,1
2017-06-15,1
2017-06-15,0
2017-06-15,1
2017-06-15,0
2017-06-15,1
2017-06-15,1
2017-06-15,0
2017-06-15,0
2017-06-15,0
2017-06-15,1
2017-06-15,1
2017-06-15,2
2017-06-15,0
2017-06-15,0
2017-06-19,1
2017-06-15,0
2017-06-15,1
2017-06-15,7
2017-06-15,0
2017-06-15,2
2017-06-15,1
2017-06-15,1
2017-06-16,0
2017-06-17,1
2017-06-17,0
2017-06-17,1
2017-06-17,1
2017-06-18,1
2017-06-18,1
2017-06-18,0
2017-06-18,1
2017-06-18,1
2017-06-18,1
2017-06-18,1
2017-06-18,1
2017-06-18,5
2017-06-18,1
2017-06-18,2
2017-06-18,1
2017-06-18,1
2017-06-18,1
2017-06-18,1
2017-06-18,1
2017-06-18,1
2017-06-18,1
2017-06-18,0
2017-06-18,1
2017-06-18,1
2017-06-18,1
2017-06-18,1
2017-06-18,0
2017-06-18,1
2017-06-18,1
2017-06-18,1
2017-06-18,1
2017-06-18,1
2017-06-18,2
2017-06-18,1
2017-06-18,1
2017-06-18,2
2017-06-18,1
2017-06-19,1
2017-06-19,1
2017-06-19,1
2017-06-19,1
2017-06-19,1
2017-06-19,1
2017-06-19,1
2017-06-19,1
2017-06-19,2
2017-06-19,1
2017-06-19,1
2017-06-19,1
2017-06-15,0
2017-06-15,1
2017-06-15,0
2017-06-15,0
2017-06-15,1
2017-06-15,2
2017-06-15,0
2017-06-15,0
2017-06-15,1
2017-06-15,1
2017-06-15,0
2017-06-15,0
2017-06-15,1
2017-06-15,3
2017-06-15,4
2017-06-15,0
2017-06-15,0
2017-06-15,0
2017-06-15,2
2017-06-15,1
2017-06-15,5
2017-06-15,0
2017-06-15,0
2017-06-15,1
2017-06-15,1
2017-06-15,1
2017-06-15,0
2017-06-15,0
2017-06-15,1
2017-06-15,1
2017-06-16,0
2017-06-16,0
2017-06-17,1
2017-06-17,1
2017-06-17,0
2017-06-17,1
2017-06-18,1
2017-06-18,1
2017-06-18,1
2017-06-18,2
2017-06-18,1
2017-06-18,0
2017-06-18,1
2017-06-18,1
2017-06-18,1
2017-06-18,1
2017-06-18,1
2017-06-18,1
2017-06-18,1
2017-06-18,1
2017-06-18,0
2017-06-18,1
2017-06-18,1
2017-06-18,0
2017-06-18,1
2017-06-18,1
2017-06-18,0
2017-06-18,0
2017-06-18,19
2017-06-18,1
2017-06-18,2
2017-06-18,0
2017-06-18,1
2017-06-19,1
2017-06-20,1
2017-06-19,1
2017-06-19,1
2017-06-19,0
2017-06-19,1
2017-06-19,0
2017-06-19,1
2017-06-19,1
2017-06-19,1
2017-06-19,1
2017-06-19,1
2017-06-19,1
2017-06-19,1
2017-06-19,1
2017-06-19,1
2017-06-19,1
2017-06-19,0
2017-06-19,0
2017-06-19,0
2017-06-19,1
2017-06-19,1
2017-06-19,1
2017-06-19,1
2017-06-19,1
2017-06-19,1
2017-06-19,1
2017-06-19,1
2017-06-19,1
2017-06-19,4
2017-06-19,1
2017-06-19,1
2017-06-20,1
2017-06-20,1
2017-06-20,1
2017-06-20,2
2017-06-20,3
2017-06-20,1
2017-06-20,1
2017-06-15,1
2017-06-17,1
2017-06-17,1
2017-06-17,1
2017-06-17,1
2017-06-18,1
2017-06-18,1
2017-06-18,1
2017-06-18,1
2017-06-18,1
2017-06-18,0
2017-06-18,0
2017-06-18,1
2017-06-18,1
2017-06-18,1
2017-06-18,1
2017-06-18,2
2017-06-18,2
2017-06-18,4
2017-06-18,1
2017-06-18,1
2017-06-18,1
2017-06-18,1
2017-06-18,2
2017-06-18,0
2017-06-18,1
2017-06-18,0
2017-06-18,0
2017-06-18,0
2017-06-18,2
2017-06-18,1
2017-06-18,1
2017-06-18,1
2017-06-18,1
2017-06-18,1
2017-06-18,0
2017-06-18,1
2017-06-18,1
2017-06-18,1
2017-06-18,1
2017-06-18,1
2017-06-19,1
2017-06-19,1
2017-06-19,1
2017-06-19,1
2017-06-19,2
2017-06-19,2
2017-06-19,1
2017-06-19,0
2017-06-19,1
2017-06-19,1
2017-06-19,0
2017-06-19,1
2017-06-19,16
2017-06-19,1
2017-06-19,1
2017-06-19,1
2017-06-19,1
2017-06-19,1
2017-06-19,1
2017-06-19,0
2017-06-19,0
2017-06-19,1
2017-06-19,1
2017-06-20,1
2017-06-20,1
2017-06-20,1
2017-06-20,1
2017-06-20,3
2017-06-20,1
2017-06-20,1
2017-06-20,2
2017-06-20,1
2017-06-20,2
2017-06-20,9
2017-06-20,1
2017-06-20,1
2017-06-20,1
2017-06-20,0
2017-06-20,1
2017-06-20,2
2017-06-20,0
2017-06-20,1
2017-06-20,1
2017-06-20,0
2017-06-20,1
2017-06-20,1
2017-06-20,1
2017-06-20,1
2017-06-20,1
2017-06-20,1
2017-06-20,1
2017-06-20,1
2017-06-20,2
2017-06-20,1
2017-06-20,1
2017-06-20,1
2017-06-20,1
2017-06-20,1
2017-06-22,1
2017-06-21,3
2017-06-21,1
2017-06-21,1
2017-06-14,1
2017-06-14,1
2017-06-18,1
2017-06-14,1
2017-06-14,1
2017-06-14,1
2017-06-14,1
2017-06-14,1
2017-06-14,1
2017-06-14,1
2017-06-14,1
2017-06-14,1
2017-06-14,1
2017-06-14,1
2017-06-14,1
2017-06-14,1
2017-06-15,1
2017-06-15,1
2017-06-15,1
2017-06-15,3
2017-06-15,1
2017-06-15,1
2017-06-15,1
2017-06-15,1
2017-06-15,0
2017-06-15,1
2017-06-15,1
2017-06-15,1
2017-06-15,0
2017-06-15,1
2017-06-15,1
2017-06-15,1
2017-06-15,0
2017-06-15,1
2017-06-15,1
2017-06-15,0
2017-06-15,21
2017-06-15,0
2017-06-15,1
2017-06-15,1
2017-06-15,1
2017-06-15,1
2017-06-15,2
2017-06-15,1
2017-06-15,1
2017-06-15,1
2017-06-17,1
2017-06-17,1
2017-06-17,1
2017-06-17,1
2017-06-18,1
2017-06-18,1
2017-06-18,2
2017-06-18,1
2017-06-18,1
2017-06-18,0
2017-06-18,1
2017-06-18,1
2017-06-18,0
2017-06-18,1
2017-06-18,0
2017-06-18,1
2017-06-18,2
2017-06-20,1
2017-06-18,1
2017-06-18,1
2017-06-18,3
2017-06-18,1
2017-06-18,1
2017-06-18,0
2017-06-18,0
2017-06-18,0
2017-06-18,2
2017-06-18,0
2017-06-18,1
2017-06-18,1
2017-06-18,1
2017-06-18,1
2017-06-18,1
2017-06-18,1
2017-06-18,1
2017-06-18,1
2017-06-19,1
2017-06-19,1
2017-06-19,1
2017-06-19,1
2017-06-19,1
2017-06-19,1
2017-06-19,1
2017-06-19,1
2017-06-19,1
2017-06-19,1
2017-06-19,2
2017-06-19,1
2017-06-19,1
2017-06-19,0
2017-06-19,1
2017-06-19,1
2017-06-19,1
2017-06-19,1
2017-06-19,0
2017-06-19,1
2017-05-21,1
2017-05-21,0
2017-05-21,1
2017-05-21,1
2017-05-21,1
2017-05-21,1
2017-05-21,1
2017-05-21,1
2017-05-21,1
2017-05-21,3
2017-05-21,1
2017-05-21,1
2017-05-23,0
2017-05-21,1
2017-05-21,1
2017-05-22,1
2017-05-22,1
2017-04-27,1
2017-04-27,1
2017-04-27,1
2017-04-27,0
2017-04-27,0
2017-04-27,0
2017-04-27,1
2017-04-27,0
2017-04-27,0
2017-04-27,1
2017-04-27,1
2017-04-27,2
2017-04-27,0
2017-04-27,1
2017-04-27,1
2017-04-27,1
2017-04-27,0
2017-04-27,0
2017-04-27,0
2017-04-28,1
2017-04-29,0
2017-04-29,0
2017-04-29,0
2017-04-29,4
2017-04-29,0
2017-04-29,1
2017-05-03,3
2017-05-03,1
2017-05-03,1
2017-05-03,1
2017-05-03,1
2017-05-03,1
2017-05-03,1
2017-05-04,1
2017-05-04,1
2017-05-04,0
2017-05-04,0
2017-05-04,1
2017-05-04,1
2017-05-04,1
2017-05-04,1
2017-05-04,0
2017-05-04,1
2017-05-04,2
2017-05-04,1
2017-05-04,1
2017-05-04,1
2017-05-04,1
2017-05-04,1
2017-05-04,1
2017-05-04,1
2017-05-04,1
2017-05-04,1
2017-05-04,0
2017-05-04,1
2017-05-04,0
2017-05-04,1
2017-05-04,1
2017-05-04,1
2017-05-04,1
2017-05-04,1
2017-05-04,2
2017-05-04,1
2017-05-04,1
2017-05-04,1
2017-05-04,1
2017-05-04,1
2017-05-04,1
2017-05-04,1
2017-05-04,3
2017-05-04,1
2017-05-04,1
2017-05-04,1
2017-05-05,1
2017-05-06,1
2017-05-06,1
2017-05-06,1
2017-05-07,1
2017-05-07,1
2017-05-07,1
2017-05-07,1
2017-05-07,1
2017-05-07,1
2017-05-07,2
2017-05-07,3
2017-05-07,1
2017-05-07,0
2017-05-07,1
2017-05-07,1
2017-05-07,2
2017-05-07,1
2017-05-07,1
2017-05-07,1
2017-05-07,1
2017-05-07,1
2017-05-07,1
2017-05-07,1
2017-05-07,1
2017-05-07,1
2017-05-07,1
2017-05-07,2
2017-05-07,1
2017-05-07,1
2017-05-07,1
2017-05-07,1
2017-05-07,1
2017-05-07,1
2017-05-07,1
2017-05-07,1
2017-05-07,1
2017-05-07,1
