ctry_name,intgrtd_mngmt_name,intgrtd_operating_team_name,city,st,sec_lvl_domn,device_type,operating_sys,ip_addr,0_hour,1_hour,2_hour,3_hour,4_hour,5_hour,6_hour,7_hour,8_hour,9_hour,10_hour,11_hour,12_hour,13_hour,14_hour,15_hour,16_hour,17_hour,18_hour,19_hour,20_hour,21_hour,22_hour,23_hour,hour_avg,daily_avg,avg_bounce_rate,date,bot_prob
United States,United States,North America,DENVER,COLORADO,unkown_domain,unkown_device,LINUX,dc7d70b03fbafb8f30c5f1b30b8bb03a94d341716e7c2e6a3735d8a2e5f785ee,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.0,144,100.0,2019-06-10,0.35
United States,United States,North America,ATLANTA,GEORGIA,BILLBLOG23.COM,unkown_device,LINUX,caa26cacb9db0c493fdcd09c03e970079e561f26e4e6d7473c921839b5cbc4b8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12.0,288,100.0,2019-06-10,0.5
United States,United States,North America,ASHBURN,VIRGINIA,DOULIKE.COM,unkown_device,LINUX,6133fa88eeeca4bb28e3be7b416793228fcdb3638d4affd1f48178494350cdc1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12.0,288,100.0,2019-06-10,0.35
United States,United States,North America,SPRING,TEXAS,QC.COM,unkown_device,LINUX,4025d4a2231867ce28f09ea04e2139656fcc3fa65388d84068c81887c84207a4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.0,144,100.0,2019-06-10,0.5
United States,United States,North America,CHICAGO,ILLINOIS,SINGLEHOP.NET,unkown_device,LINUX,b049fa7bd0b308f8bdcd9aed7141ac182f61869c1ba6d612f33c5d0cc4a7ab46,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12.0,288,100.0,2019-06-10,0.35
United States,United States,North America,SPRING,TEXAS,CLASSIC-CONSOLES.COM,unkown_device,LINUX,14c9a0929e439ddc720c79b3c923075b95c5aa3a930d2da2e1c33eed079da357,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.0,144,100.0,2019-06-10,0.5
United States,United States,North America,CHICAGO,ILLINOIS,SINGLEHOP.NET,unkown_device,LINUX,06f4437d31142685699f9d974891e80a098d339f494429ad87b26ea24793cd23,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.0,144,100.0,2019-06-10,0.35
United States,United States,North America,DENVER,COLORADO,unkown_domain,unkown_device,LINUX,9597508a8f61c1c72412a01dbce0b9de6a1a285802dfa32b782d233c62960d75,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12.0,288,100.0,2019-06-10,0.35
United States,United States,North America,SPRING,TEXAS,TEKNAS.COM,unkown_device,LINUX,932274c9eb8495768dfab78dff494f9053491cce91370d27f8b6f1bdc4499a67,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.0,144,100.0,2019-06-10,0.5
United States,United States,North America,SAN DIEGO,CALIFORNIA,unkown_domain,unkown_device,LINUX,6b41546d9414adba7faa8ef74f4b1b558af8ad428d2e2eb9a99ca81299330261,12,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,12,12,12,11,11,11.75,282,100.0,2019-06-10,0.35
Australia,Australia/NZ,Asia Pacific,SYDNEY,NEW SOUTH WALES,REALHOST.COM.AU,unkown_device,LINUX,c4714f52a5e2a0dbfbc47ee0aa2ecabdd13e9bc0e51c02fa57467e23e1b5620e,0,0,0,0,0,0,10,2,1,21,1,0,0,20,19,0,19,0,0,17,18,29,0,3,6.666666666666668,160,100.0,2019-06-10,0.35
United States,United States,North America,NEW YORK,NEW YORK,unkown_domain,unkown_device,LINUX,4e20587477820f38075f48c0c1b66a40d754af2281cab8bcf28db5a9adcaa9b0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12.0,288,100.0,2019-06-10,0.35
United States,United States,North America,NEW YORK,NEW YORK,unkown_domain,unkown_device,LINUX,55f1d0072cff06a887a0ec73175ae1989c8dd0edda4b1355b076ed1dcc7614e7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.0,144,100.0,2019-06-10,0.35
Brazil,Brazil,Latin America,RECIFE,PERNAMBUCO,GVT.NET.BR,unkown_device,LINUX,7e76284ee38df7381d356e6d65ebaa425d026b5265cb27a2d354dea8b96c0b6b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26,9,0,0,0,0,0,1.5416666666666667,37,100.0,2019-06-10,0.35
United States,United States,North America,ATLANTA,GEORGIA,MSRVS.NET,unkown_device,LINUX,e4ac3572a712fa58d2fe8de134f6956bdc9344b3cf731e687ba4b3979e9134e8,12,12,12,12,12,12,11,12,12,12,12,12,12,12,12,12,11,12,12,12,12,12,12,12,11.916666666666664,286,100.0,2019-06-10,0.5
United States,United States,North America,DENVER,COLORADO,unkown_domain,unkown_device,LINUX,f4e0e98e387e10b147f12ab4d441addc70e73f13bf87a0c1f6b557ac6b6ddaf5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.0,144,100.0,2019-06-10,0.35
United States,United States,North America,CHICAGO,ILLINOIS,SINGLEHOP.COM,unkown_device,LINUX,8da6010ea872d544cf74fa10b221cd3879dac08ef6aa5ce64681bf96cb3c6128,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,12,12,12,12,12,12,12,11.958333333333336,287,100.0,2019-06-10,0.35
United States,United States,North America,CUPERTINO,CALIFORNIA,STARBAND.NET,unkown_device,LINUX,6b9b310fc802f45a57ad20241e47a648f19207d04cc27be2ded4666613a7ecae,0,0,0,0,0,0,14,0,6,19,10,11,1,3,0,0,0,0,0,0,0,0,0,0,2.6666666666666665,64,100.0,2019-06-10,0.35
United States,United States,North America,MOORESVILLE,NORTH CAROLINA,unkown_domain,unkown_device,LINUX,2763fb9354e3c5186048114c9ae23d6662c6910e1a5a83c851401a8b0d8b77ad,1,0,0,0,0,0,0,0,0,6,0,1,2,6,0,3,1,0,37,1,4,3,0,0,2.708333333333333,65,100.0,2019-06-10,0.35
United States,United States,North America,SPRING,TEXAS,CLASSIC-CONSOLES.COM,unkown_device,LINUX,77124b098f23496dd7eb9735b0269a30cd99d72d347879a57d640d03cc9d619f,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.0,144,100.0,2019-06-10,0.5
United States,United States,North America,DALLAS,TEXAS,ANYCAST.NET,unkown_device,LINUX,b619ade913f69f858482edf36410c3a775f6a43b307b44ced88e33f30070ac37,12,12,12,11,12,12,12,12,12,12,12,12,11,12,12,12,12,12,12,12,12,12,12,12,11.916666666666664,286,100.0,2019-06-10,0.35
United States,United States,North America,DALLAS,TEXAS,ANYCAST.NET,unkown_device,LINUX,8d5fff3a2115ba1ec3573c34fce1a70c1a9a4df01f8156160aeb48fb131188dc,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.0,144,100.0,2019-06-10,0.35
Cambodia,ASEAN,Asia Pacific,PHNOM PENH,PHNUM PENH,unkown_domain,unkown_device,LINUX,983da3bc1ef6e66848ef3b07cbd600d652b166f2fddb939fae48976a31357758,0,0,0,2,6,26,0,27,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.875,69,100.0,2019-06-10,0.35
Japan,Japan,Japan,SAPPORO,HOKKAIDO,MURORAN-IT.AC.JP,unkown_device,LINUX,fe86df0ef044f89b485ed2c4b7d3af41e28c5f2cbe6251e89be65e4fdad10973,0,36,3,1,0,0,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9166666666666667,46,100.0,2019-06-10,0.35
United States,United States,North America,DENVER,COLORADO,unkown_domain,unkown_device,LINUX,2fb690e8af38260eb9b561a6924bbfb981b4956ed004275b6e18cc0b6d3b95b6,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18.0,432,100.0,2019-06-10,0.35
Germany,DACH,Europe,ESCHBORN,HESSEN,VODAFONE-IP.DE,unkown_device,LINUX,1e619fb9438268867fce021ee28f9a415365ab0f5f1589603d1e0a72c45a4660,0,0,0,0,0,0,0,0,0,0,0,4,2,7,0,0,0,3,2,3,0,6,0,0,1.125,27,100.0,2019-06-10,0.35
India,India-South Asia,Asia Pacific,BENGALURU,KARNATAKA,ACTCORP.IN,unkown_device,LINUX,4af969bd5407761f149669666696b470d8b5e1769a8196698cc67ba1b39562d6,0,0,0,0,0,2,3,0,5,0,0,0,1,1,0,1,1,4,9,0,0,0,0,0,1.125,27,100.0,2019-06-10,0.35
Poland,CEE,Europe,POZNAN,WIELKOPOLSKIE,ICPNET.PL,unkown_device,LINUX,aafa4c29cede050af86f05b4957947f0c99f32dcb3e855551882761a8b734c9c,0,0,0,0,0,0,4,7,17,2,4,10,1,13,1,1,0,0,0,0,0,0,0,0,2.5,60,100.0,2019-06-10,0.35
United States,United States,North America,NEW YORK,NEW YORK,RCN.NET,unkown_device,LINUX,41602f45106d52f5a52060f22f543825bf8e45e618fea080ce7a3b329d22cd86,0,0,1,47,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.541666666666667,109,100.0,2019-06-10,0.35
United States,United States,North America,SAN JOSE,CALIFORNIA,unkown_domain,unkown_device,LINUX,28514465a358a1ceee51cb9cc1aad0758dd67bae932635b58e0c615a9be75598,2,3,0,5,8,9,20,5,9,1,3,1,0,0,0,0,0,0,0,0,0,0,2,2,2.9166666666666665,70,100.0,2019-06-10,0.35
Spain,SPGI,Europe,BILBAO,BIZKAIA,INTRANETBBVA.COM,unkown_device,LINUX,19d35f3db648227f5670c46668daa3c83a45d2f031f11bc354fed30162d46b1f,0,0,0,0,0,0,0,4,4,8,11,5,2,3,4,4,5,0,0,0,0,0,0,0,2.083333333333333,50,100.0,2019-06-10,0.35
