FULL_DATE,OFFRNG_ID,GEO_ID,OPRTNTY_CREATD_AMT,NO_OF_OPRTNTY_CREATD,NO_OF_WINS,OPRTNTY_WON_AMT
"2017-01-01","194","98","0.00","0","2","41528.00"
"2017-01-01","194","99","0.00","0","1","0.00"
"2017-01-01","192","198","0.00","0","1","32842.00"
"2017-01-01","194","224","300000.00","1","0","0.00"
"2017-01-01","202","224","0.00","0","3","543703.00"
"2017-01-01","194","224","0.00","0","1","1080.00"
"2017-01-01","194","127","0.00","0","2","6624.00"
"2017-01-01","178","222","0.00","0","1","27246.00"
"2017-01-01","197","224","0.00","0","2","607380.00"
"2017-01-01","194","112","170000.00","3","0","0.00"
"2017-01-01","191","224","0.00","0","4","24180.00"
"2017-01-01","178","224","0.00","0","1","11600.00"
"2017-01-01","207","224","0.00","0","1","21126.00"
"2017-01-01","194","210","0.00","0","1","3000.00"
"2017-01-01","194","224","30000000.00","1","0","0.00"
"2017-01-01","194","224","0.00","0","1","0.00"
"2017-01-01","194","39","0.00","0","1","0.00"
"2017-01-01","232","39","0.00","0","1","4077.00"
"2017-01-01","191","224","0.00","0","4","133620.00"
"2017-01-01","202","224","0.00","0","1","111511.00"
"2017-01-01","197","224","0.00","0","1","3060.00"
"2017-01-01","194","224","0.00","0","1","45782.00"
"2017-01-01","194","174","0.00","0","1","2000.00"
"2017-01-01","191","224","0.00","0","10","97296.00"
"2017-01-01","200","224","0.00","0","4","7950.00"
"2017-01-01","194","190","150000.00","1","0","0.00"
"2017-01-01","194","190","0.00","0","3","33672.00"
"2017-01-01","191","39","0.00","0","6","26513.00"
"2017-01-01","215","224","0.00","0","1","20700.00"
"2017-01-01","194","39","0.00","0","1","100669.00"
"2017-01-01","194","190","0.00","1","0","0.00"
"2017-01-01","207","224","0.00","0","5","156630.00"
"2017-01-01","194","209","0.00","0","1","0.00"
"2017-01-01","194","31","0.00","0","1","468.00"
"2017-01-01","194","165","0.00","0","1","2000.00"
"2017-01-01","195","224","0.00","0","2","4800.00"
"2017-01-01","190","224","0.00","0","1","0.00"
"2017-01-01","182","136","0.00","0","1","540.00"
"2017-01-01","194","103","0.00","0","2","85000.00"
"2017-01-01","194","98","0.00","0","1","254999.00"
"2017-01-01","194","224","0.00","0","1","110028.00"
"2017-01-01","215","224","0.00","0","1","6601.00"
"2017-01-01","200","205","0.00","0","1","9816.00"
"2017-01-01","232","224","0.00","0","1","900.00"
"2017-01-01","194","98","0.00","0","1","96727.00"
"2017-01-01","197","224","0.00","0","1","10800.00"
"2017-01-01","197","224","0.00","0","1","67896.00"
"2017-01-01","192","216","0.00","0","1","20000.00"
"2017-01-01","194","224","0.00","0","1","3266.00"
"2017-01-01","194","281","0.00","0","2","28250.00"
"2017-01-01","191","224","0.00","0","1","9000.00"
"2017-01-01","191","224","0.00","0","1","1350.00"
"2017-01-01","178","224","0.00","0","3","256300.00"
"2017-01-01","194","190","0.00","0","1","2484.00"
"2017-01-01","190","224","0.00","0","2","161193.00"
"2017-01-01","178","224","0.00","0","2","28013.00"
"2017-01-01","207","224","0.00","0","1","1597.00"
"2017-01-01","194","224","0.00","0","1","273972.00"
"2017-01-01","207","224","0.00","0","1","60660.00"
"2017-01-01","194","103","25850.00","1","0","0.00"
"2017-01-01","191","224","0.00","0","2","9256.00"
"2017-01-01","194","112","70000.00","1","0","0.00"
"2017-01-01","263","51","0.00","0","1","53882.00"
"2017-01-01","207","224","0.00","0","1","862.00"
"2017-01-01","194","143","0.00","0","2","441799.00"
"2017-01-01","191","224","0.00","0","1","5400.00"
"2017-01-01","178","103","0.00","0","2","23842.00"
"2017-01-01","194","15","0.00","0","3","4977.00"
"2017-01-01","194","190","100000.00","1","0","0.00"
"2017-01-01","190","224","0.00","0","1","0.00"
"2017-01-01","194","224","0.00","0","1","5091.00"
"2017-01-01","215","224","0.00","0","23","242134.00"
"2017-01-01","187","224","0.00","0","1","1577.00"
"2017-01-01","194","224","0.00","0","1","1000.00"
"2017-01-01","194","127","0.00","0","9","101604.00"
"2017-01-01","194","224","126500.00","1","0","0.00"
"2017-01-01","194","224","300000.00","1","0","0.00"
"2017-01-01","194","190","100000.00","1","0","0.00"
"2017-01-01","194","78","0.00","0","13","85558.00"
"2017-01-01","190","224","0.00","0","2","297269.00"
"2017-01-01","194","224","0.00","0","1","269550.00"
"2017-01-01","194","15","0.00","0","12","832823.00"
"2017-01-01","232","106","0.00","0","7","23764.00"
"2017-01-01","194","106","0.00","0","1","214.00"
"2017-01-01","197","224","0.00","0","2","1914.00"
"2017-01-01","194","39","0.00","0","1","100670.00"
"2017-01-01","194","50","1605.00","1","0","0.00"
"2017-01-01","194","31","0.00","0","1","45600.00"
"2017-01-01","191","224","0.00","0","39","275534.00"
"2017-01-01","194","78","0.00","0","1","3276.00"
"2017-01-01","178","224","0.00","0","2","242500.00"
"2017-01-01","194","224","0.00","0","1","603.00"
"2017-01-01","194","190","0.00","0","4","35016.00"
"2017-01-01","190","223","0.00","0","2","89164.00"
"2017-01-01","194","224","0.00","0","1","30000.00"
"2017-01-01","194","224","0.00","0","1","32500.00"
"2017-01-01","194","210","300.00","1","0","0.00"
"2017-01-01","194","224","200000.00","1","0","0.00"
"2017-01-01","194","160","0.00","0","1","15000.00"
"2017-01-01","194","190","0.00","0","1","3540.00"
"2017-01-01","191","224","0.00","0","13","57882.00"
"2017-01-01","194","224","0.00","0","1","3669.00"
"2017-01-01","191","224","0.00","0","3","36607.00"
"2017-01-01","194","224","500000.00","1","0","0.00"
"2017-01-01","192","224","0.00","0","2","1731.00"
"2017-01-01","192","224","0.00","0","1","5724.00"
"2017-01-01","195","224","0.00","0","1","53280.00"
"2017-01-01","232","127","0.00","0","1","127.00"
"2017-01-01","194","224","0.00","0","1","22090.00"
"2017-01-01","194","224","0.00","0","1","57000.00"
"2017-01-01","194","224","0.00","0","1","557952.00"
"2017-01-01","207","224","0.00","0","1","21168.00"
"2017-01-01","191","224","0.00","0","2","11580.00"
"2017-01-01","194","224","0.00","1","0","0.00"
"2017-01-01","194","224","0.00","0","1","196822.00"
"2017-01-01","194","224","2500.00","1","0","0.00"
"2017-01-01","194","103","8000.00","1","0","0.00"
"2017-01-01","207","224","0.00","0","3","17742.00"
"2017-01-01","194","224","0.00","0","1","2820.00"
"2017-01-01","197","224","0.00","0","5","31620.00"
"2017-01-01","207","224","0.00","0","2","61280.00"
"2017-01-01","194","78","0.00","0","1","8244.00"
"2017-01-01","194","174","0.00","0","1","853.00"
"2017-01-01","178","224","0.00","0","1","41585.00"
"2017-01-01","194","224","0.00","0","1","41580.00"
"2017-01-01","194","224","500000.00","2","0","0.00"
"2017-01-01","194","112","10000.00","1","0","0.00"
"2017-01-01","194","190","200000.00","1","0","0.00"
"2017-01-01","194","224","0.00","0","1","19994.00"
